Season,INN_per_G,PA,RS,IP,G,1B,BB,IBB,HBP,SB,CS,GDP,GDP_OPP,league_wOBA
1871,8.12274368231047,11215.0,2659,2250.0,277,2381,393,0.0,0.0,441.0,123.0,74.0,10775.0,0.312349565699501
1872,8.11358024691358,15928.0,3390,3286.0,405,3704,263,0.0,0.0,269.0,134.0,97.0,15628.0,0.2853146504947335
1873,8.259600614439323,17294.0,3580,3584.6666666666665,434,4098,335,0.0,0.0,314.0,131.0,122.0,16912.0,0.2934486113568017
1874,8.50952380952381,19342.0,3470,4169.666666666667,490,4356,238,0.0,0.0,242.0,97.0,107.0,19064.0,0.2709102805695142
1875,8.113149847094801,27082.0,4234,6190.333333333333,763,5660,249,0.0,0.0,629.0,320.0,142.0,26793.0,0.2500979018372899
1876,8.314619883040935,20457.0,3066,4739.333333333333,570,4484,336,0.0,0.0,0.0,0.0,0.0,20081.0,0.26509462750360324
1877,8.20506329113924,14012.0,2040,3241.0,395,3046,345,0.0,0.0,0.0,0.0,0.0,13643.0,0.2799914392331895
1878,8.633766233766234,14008.0,1904,3324.0,385,2903,364,0.0,0.0,0.0,0.0,0.0,13621.0,0.26829492817355616
1879,8.575443786982248,24663.0,3409,5797.0,676,4838,508,0.0,0.0,0.0,0.0,0.0,24097.0,0.26580873525150067
1880,7.977954144620811,25041.0,3191,6031.333333333333,756,4576,740,0.0,0.0,0.0,0.0,0.0,24239.0,0.2634889922225423
1881,8.38702147525677,25410.0,3425,5988.333333333333,714,4891,1033,0.0,0.0,0.0,0.0,0.0,24301.0,0.2864468146203389
1882,8.40176600441501,43214.0,6092,10149.333333333334,1208,7916,1592,0.0,0.0,0.0,0.0,0.0,41444.0,0.27447801643361686
1883,8.176586132390492,59996.0,9030,13875.666666666666,1697,11157,2326,0.0,0.0,0.0,0.0,0.0,57432.0,0.28612025316455697
1884,8.240061162079511,114727.0,16742,26945.0,3270,20347,4947,0.0,468.0,0.0,0.0,0.0,108623.0,0.27776858261978504
1885,8.483720093542004,66588.0,9292,15720.333333333334,1853,11824,3530,0.0,333.0,0.0,0.0,0.0,62402.0,0.2853568777950458
1886,8.321347291761493,78790.0,11512,18282.0,2197,13727,5554,0.0,309.0,3243.0,0.0,0.0,72514.0,0.302263995849036
1887,8.293453724604966,81534.0,13417,18370.0,2215,15142,6053,0.0,746.0,6345.0,0.0,0.0,74129.0,0.3355310078032883
1888,8.519091847265223,80990.0,10628,19261.666666666668,2261,13974,4727,0.0,824.0,5260.0,0.0,0.0,74918.0,0.2875547775461233
1889,7.80161334427126,84553.0,12986,19020.333333333332,2438,15405,7316,0.0,759.0,4816.0,0.0,0.0,75811.0,0.33629317555057814
1890,7.892406836648921,126310.0,19383,28168.0,3569,22603,11723,0.0,1344.0,6871.0,0.0,0.0,112479.0,0.33807547103947216
